Generation,MutationID,MutType,X,Y,Frequency,AlleleCount,Chr_Tot
640,391,m2,7,4.0,0.962963,52,54
640,1280,m1,7,4.0,0.0925926,5,54
640,3310,m1,7,4.0,0.0185185,1,54

641,391,m2,6,5.0,0.9375,90,96
641,1280,m1,6,5.0,0.09375,9,96
641,3310,m1,6,5.0,0.0208333,2,96
641,4220,m1,6,5.0,0.0104167,1,96
641,391,m2,6,4.0,1.0,24,24
641,4276,m1,10,1.0,0.138298,13,94
641,391,m2,10,1.0,0.957447,90,94
641,391,m2,9,6.0,0.551724,32,58
641,1280,m1,9,6.0,0.37931,22,58
641,3310,m1,9,6.0,0.0172414,1,58
641,391,m2,1,2.0,1.0,76,76
641,2635,m1,1,2.0,0.0526316,4,76
641,391,m2,7,2.0,0.984375,63,64
641,4327,m1,7,2.0,0.140625,9,64

642,391,m2,8,1.0,1.0,86,86
642,4318,m1,8,1.0,0.0348837,3,86
642,391,m2,7,5.0,1.0,48,48
642,1280,m1,7,5.0,0.145833,7,48
642,391,m2,1,8.0,0.134146,11,82
642,391,m2,3,5.0,0.888889,64,72
642,391,m2,8,3.0,0.869565,40,46
642,1280,m1,8,3.0,0.282609,13,46

643,391,m2,4,8.0,0.212121,14,66
643,4178,m1,4,8.0,0.0454545,3,66
643,391,m2,7,3.0,0.970588,66,68
643,1280,m1,7,3.0,0.0588235,4,68
643,4327,m1,7,3.0,0.0441176,3,68
643,1280,m1,9,10.0,0.2,6,30
643,391,m2,9,10.0,0.1,3,30
643,391,m2,4,10.0,0.05,2,40
643,391,m2,10,3.0,0.902174,83,92

644,391,m2,9,3.0,0.833333,40,48
644,1280,m1,9,3.0,0.125,6,48
644,391,m2,6,6.0,0.94,47,50
644,3310,m1,6,6.0,0.02,1,50
644,4220,m1,6,6.0,0.02,1,50
644,1280,m1,6,6.0,0.02,1,50
644,391,m2,8,1.0,1.0,60,60
644,391,m2,9,5.0,0.878049,72,82
644,1280,m1,9,5.0,0.0243902,2,82
644,2578,m1,9,5.0,0.0487805,4,82

645,391,m2,2,4.0,0.989583,95,96
645,2635,m1,2,4.0,0.197917,19,96
645,391,m2,3,4.0,1.0,64,64
645,3060,m1,3,4.0,0.078125,5,64
645,391,m2,7,4.0,0.930556,67,72
645,1280,m1,7,4.0,0.180556,13,72
645,391,m2,5,7.0,0.375,3,8
645,391,m2,9,2.0,0.9,81,90
645,1280,m1,9,2.0,0.0777778,7,90
645,391,m2,2,7.0,0.625,50,80

646,391,m2,4,1.0,0.987179,77,78
646,2635,m1,4,1.0,0.0897436,7,78
646,391,m2,9,7.0,0.294118,20,68
646,1280,m1,9,7.0,0.382353,26,68
646,391,m2,3,6.0,0.961538,50,52

647,391,m2,5,2.0,0.763889,55,72
647,2635,m1,5,2.0,0.0972222,7,72
647,391,m2,5,9.0,0.4375,28,64
647,1280,m1,5,9.0,0.109375,7,64
647,391,m2,10,6.0,0.7,7,10
647,1280,m1,10,6.0,0.1,1,10
647,391,m2,7,3.0,0.95,76,80
647,1280,m1,7,3.0,0.15,12,80
647,391,m2,1,2.0,1.0,60,60
647,2635,m1,1,2.0,0.2,12,60
647,3060,m1,1,2.0,0.0166667,1,60
647,391,m2,8,9.0,0.410256,32,78
647,1280,m1,8,9.0,0.025641,2,78
647,3310,m1,6,7.0,0.05,1,20
647,1280,m1,6,7.0,0.1,2,20
647,391,m2,6,7.0,0.4,8,20
647,391,m2,1,8.0,0.195652,9,46
647,391,m2,6,3.0,0.966667,29,30
647,1280,m1,6,3.0,0.0666667,2,30

648,391,m2,5,6.0,0.880952,37,42
648,3310,m1,5,6.0,0.285714,12,42
648,4220,m1,5,6.0,0.047619,2,42
648,391,m2,5,4.0,0.716216,53,74
648,2635,m1,5,4.0,0.0540541,4,74
648,391,m2,5,7.0,0.515625,33,64
648,3310,m1,5,7.0,0.15625,10,64
648,391,m2,5,2.0,0.674419,58,86
648,2635,m1,5,2.0,0.0697674,6,86

649,391,m2,3,1.0,1.0,66,66
649,4332,m1,3,1.0,0.287879,19,66
649,2635,m1,3,1.0,0.151515,10,66
649,4554,m1,3,1.0,0.0454545,3,66
649,391,m2,3,3.0,0.986486,73,74
649,2635,m1,3,3.0,0.0675676,5,74
649,3060,m1,3,3.0,0.0675676,5,74
649,391,m2,10,3.0,1.0,16,16
649,2578,m1,10,3.0,0.0625,1,16
649,391,m2,9,2.0,0.957143,67,70
649,4276,m1,9,2.0,0.0428571,3,70
649,391,m2,4,4.0,0.871795,68,78
649,391,m2,6,2.0,0.807692,21,26
649,2635,m1,6,2.0,0.0384615,1,26
649,391,m2,1,2.0,1.0,72,72
649,2635,m1,1,2.0,0.111111,8,72
649,4178,m1,5,8.0,0.0357143,1,28
649,4571,m1,5,8.0,0.0714286,2,28
649,391,m2,5,8.0,0.0714286,2,28
649,1280,m1,5,8.0,0.0357143,1,28
649,391,m2,9,5.0,1.0,32,32
649,1280,m1,9,5.0,0.03125,1,32

650,391,m2,2,5.0,0.984375,63,64
650,2635,m1,2,5.0,0.0625,4,64
650,391,m2,5,10.0,0.279412,19,68
650,1280,m1,5,10.0,0.0588235,4,68
650,391,m2,5,2.0,0.714286,10,14
650,2635,m1,5,2.0,0.0714286,1,14
650,391,m2,7,10.0,0.30303,20,66
650,391,m2,2,4.0,0.961538,50,52
650,2635,m1,2,4.0,0.0576923,3,52
650,391,m2,2,2.0,1.0,96,96
