Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot
603.0,3310.0,7.0,6.0,0.148148,8.0,54.0
603.0,1280.0,7.0,6.0,0.148148,8.0,54.0
603.0,3310.0,7.0,7.0,0.558824,38.0,68.0
603.0,1280.0,7.0,7.0,0.0588235,4.0,68.0
603.0,2578.0,7.0,7.0,0.0441176,3.0,68.0
603.0,2578.0,7.0,8.0,0.106061,7.0,66.0
603.0,3310.0,7.0,8.0,0.0757576,5.0,66.0
603.0,1280.0,7.0,8.0,0.030303,2.0,66.0
603.0,2578.0,7.0,9.0,0.0675676,5.0,74.0
603.0,1280.0,7.0,9.0,0.027027,2.0,74.0
603.0,2578.0,7.0,10.0,0.0666667,4.0,60.0
603.0,1280.0,8.0,3.0,0.015625,1.0,64.0
603.0,1280.0,8.0,4.0,0.27027,20.0,74.0
603.0,2578.0,8.0,4.0,0.027027,2.0,74.0
603.0,1280.0,8.0,5.0,0.04,4.0,100.0
603.0,2578.0,8.0,5.0,0.01,1.0,100.0
603.0,1280.0,8.0,6.0,0.0689655,4.0,58.0
603.0,1280.0,8.0,7.0,0.225806,14.0,62.0
603.0,1280.0,8.0,8.0,0.09,9.0,100.0
603.0,2578.0,8.0,8.0,0.06,6.0,100.0
603.0,3310.0,8.0,8.0,0.03,3.0,100.0
603.0,2578.0,8.0,9.0,0.0428571,3.0,70.0
603.0,2578.0,9.0,2.0,0.166667,18.0,108.0
603.0,2578.0,9.0,4.0,0.015625,1.0,64.0
603.0,1280.0,9.0,4.0,0.109375,7.0,64.0
603.0,1280.0,9.0,5.0,0.0645161,4.0,62.0
603.0,1280.0,9.0,6.0,0.0555556,3.0,54.0
603.0,1280.0,9.0,7.0,0.432432,32.0,74.0
603.0,2578.0,9.0,7.0,0.027027,2.0,74.0
603.0,1280.0,9.0,8.0,0.0571429,4.0,70.0
603.0,1280.0,9.0,9.0,0.117647,8.0,68.0
603.0,1280.0,9.0,10.0,0.0125,1.0,80.0
603.0,2578.0,10.0,1.0,0.0566038,6.0,106.0
603.0,2578.0,10.0,2.0,0.0568182,5.0,88.0
603.0,2578.0,10.0,3.0,0.0625,6.0,96.0
603.0,2578.0,10.0,4.0,0.228571,16.0,70.0
603.0,1280.0,10.0,4.0,0.0285714,2.0,70.0
603.0,2578.0,10.0,5.0,0.0625,6.0,96.0
603.0,1280.0,10.0,6.0,0.102941,7.0,68.0
603.0,1280.0,10.0,7.0,0.288462,15.0,52.0
603.0,2578.0,10.0,7.0,0.230769,12.0,52.0
603.0,1280.0,10.0,8.0,0.407895,31.0,76.0
603.0,2578.0,10.0,8.0,0.0789474,6.0,76.0
603.0,1280.0,10.0,9.0,0.242857,17.0,70.0

604.0,3310.0,5.0,6.0,0.0487805,4.0,82.0
604.0,3310.0,5.0,7.0,0.0921053,7.0,76.0
604.0,3310.0,5.0,8.0,0.0714286,5.0,70.0
604.0,2578.0,5.0,9.0,0.0416667,3.0,72.0
604.0,1280.0,6.0,4.0,0.0277778,2.0,72.0
604.0,1280.0,6.0,5.0,0.0375,3.0,80.0
604.0,3310.0,6.0,6.0,0.302326,26.0,86.0
604.0,3310.0,6.0,7.0,0.354839,22.0,62.0
604.0,2578.0,6.0,7.0,0.016129,1.0,62.0
604.0,3310.0,6.0,8.0,0.186047,16.0,86.0
604.0,2578.0,6.0,10.0,0.0972222,7.0,72.0
604.0,1280.0,7.0,3.0,0.0277778,2.0,72.0
604.0,1280.0,7.0,4.0,0.203125,13.0,64.0
604.0,2578.0,7.0,4.0,0.109375,7.0,64.0
604.0,1280.0,7.0,5.0,0.0344828,2.0,58.0
604.0,2578.0,7.0,5.0,0.0517241,3.0,58.0
604.0,3310.0,7.0,6.0,0.125,8.0,64.0
604.0,1280.0,7.0,6.0,0.1875,12.0,64.0
604.0,3310.0,7.0,7.0,0.571429,40.0,70.0
604.0,1280.0,7.0,7.0,0.0571429,4.0,70.0
